AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,App,N
Serie A,After2016,Serie A,M,Tier_2,Tier_3,U30,10Mto5M,75to84,75to84,150to300,SA
Ligue 1,Before2016,Serie A,F,Tier_1,Tier_1,U30,40Mto10M,85above,75to84,50to150,SA
Serie A,Before2016,Other,F,Tier_2,Tier_4,U21,40Mto10M,75to84,65to74,below50,SA
Serie A,Before2016,Serie A,F,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,50to150,SA
Other,Before2016,Other,D,Tier_1,Tier_2,U30,10Mto5M,75to84,75to84,150to300,SA
Serie A,After2016,Serie A,D,Tier_1,Tier_1,U30,10Mto5M,75to84,75to84,150to300,SA
Serie A,Before2016,Primera Division,F,Tier_1,Tier_1,U25,40Mto10M,85above,85above,150to300,SA
Serie A,After2016,Serie A,F,Tier_1,Tier_1,U30,Above80M,85above,75to84,300above,SA
Serie A,Before2016,Serie A,F,Tier_2,Tier_2,U21,40Mto10M,75to84,below65,below50,SA
Serie A,Before2016,Other,M,Tier_2,Tier_4,U30,10Mto5M,75to84,75to84,150to300,SA
Serie A,After2016,Serie A,M,Tier_1,Tier_2,A30,40Mto10M,75to84,75to84,300above,SA
Serie A,Before2016,Other,F,Tier_2,Tier_4,U21,10Mto5M,75to84,65to74,50to150,SA
Primera Division,After2016,Serie A,F,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,50to150,SA
Serie A,After2016,Primera Division,F,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,50to150,SA
Premier League,Before2016,Primera Division,D,Tier_1,Tier_1,U30,10Mto5M,75to84,75to84,150to300,SA
Serie A,After2016,Serie A,F,Tier_1,Tier_1,U30,10Mto5M,75to84,75to84,150to300,SA
Primera Division,After2016,Serie A,M,Tier_1,Tier_1,U30,10Mto5M,75to84,75to84,150to300,SA
Primera Division,Before2016,Primera Division,F,Tier_1,Tier_1,U21,40Mto10M,85above,65to74,50to150,SA
Other,After2016,Primera Division,F,Tier_2,Tier_1,U25,10Mto5M,75to84,75to84,50to150,SA
Primera Division,Before2016,Other,F,Tier_1,Tier_4,U21,10Mto5M,85above,65to74,below50,SA
Ligue 1,Before2016,Other,F,Tier_1,Tier_4,U25,10Mto5M,75to84,65to74,50to150,SA
Premier League,After2016,Ligue 1,F,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,50to150,SA
Premier League,After2016,Ligue 1,F,Tier_3,Tier_3,U30,40Mto10M,75to84,75to84,50to150,SA
Ligue 1,Before2016,Ligue 1,F,Tier_1,Tier_1,U21,10Mto5M,75to84,65to74,50to150,SA
Primera Division,After2016,Ligue 1,F,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,50to150,SA
Premier League,Before2016,Other,D,Tier_1,Tier_4,U25,40Mto10M,75to84,65to74,50to150,SA
Primera Division,After2016,Premier League,D,Tier_1,Tier_1,U30,10Mto5M,75to84,75to84,50to150,SA
Primera Division,Before2016,Other,M,Tier_1,Tier_4,U25,10Mto5M,75to84,65to74,50to150,SA
